Company,AS Number,IPv4,IPv6,Gbits/sec,Peering Status
"CloudFlare, Inc.",13335,206.108.34.208,2001:504:1a::34:208,100,Accepting
"Cloudwifi Inc.",394233,206.108.35.56,2001:504:1a::35:56,10,Accepting
"Coextro",36445,206.108.35.4,2001:504:1a::35:4,20,Accepting
"Cogeco Cable Canada Inc.",7992,206.108.34.27,2001:504:1a::34:27,300,Accepting
"Communicate Freely",54351,206.108.35.43,2001:504:1a::35:43,10,Accepting
"Computer Talk",54164,206.108.34.203,2001:504:1a::34:203,10,Not accepting
"Comwave Telecom Inc.",15128,206.108.34.109,2001:504:1a::34:109,10,Accepting
"Comwave Telecom Inc.",15128,206.108.35.97,2001:504:1a::35:97,10,Accepting
"Connex Telecommunications Inc.",16949,206.108.34.63,2001:504:1a::34:63,1,Accepting
"Continent8",14537,206.108.34.244,2001:504:1a::34:244,10,Conditional
"CRS Networks Inc.",54002,206.108.34.180,2001:504:1a::34:180,10,Accepting
"DataCity",31798,206.108.35.131,2001:504:1a::35:131,10,Accepting
"Digital Ocean, Inc.",14061,206.108.35.15,2001:504:1a::35:15,30,Accepting
"Distributel Communications, Ltd.",11814,206.108.34.14,2001:504:1a::34:14,40,Accepting
"DNC Holdings, Inc",53997,206.108.35.146,2001:504:1a::35:146,10,Accepting
"Docler Holding S.C  r.l.",34655,206.108.35.102,2001:504:1a::35:102,10,Conditional
"Dropbox Inc.",19679,206.108.35.99,2001:504:1a::35:99,10,Accepting
"Dufferin-Peel Catholic District School Board",63419,206.108.34.252,2001:504:1a::34:252,10,Accepting
"Durham Broadband",398717,206.108.35.163,2001:504:1a::35:163,10,Connecting
"E-Gate Communications Inc.",13657,206.108.34.8,2001:504:1a::34:8,10,Accepting
"Eastlink Limited",11260,206.108.34.118,2001:504:1a::34:118,200,Conditional
"EBOX",1403,206.108.34.248,2001:504:1a::34:248,20,Conditional
"EI Catalyst Corp.",30528,206.108.34.54,2001:504:1a::34:54,1,Accepting
"Envi Network",11635,206.108.35.103,2001:504:1a::35:103,10,Accepting
"Epik Networks",21513,206.108.34.136,2001:504:1a::34:136,10,Accepting
"Execulink Telecom Inc.",7794,206.108.34.21,2001:504:1a::34:21,100,Accepting
"ExperiencePoint Inc.",53668,206.108.35.108,2001:504:1a::35:108,10,Accepting
"F6 Networks Inc",3367,206.108.35.46,2001:504:1a::35:46,10,Accepting
"Facebook Inc.",32934,206.108.35.2,2001:504:1a::35:2,100,Accepting
"Facebook Inc.",32934,206.108.35.3,2001:504:1a::35:3,100,Accepting
"Fastly Inc.",54113,206.108.35.30,2001:504:1a::35:30,100,Accepting
"Fastly Inc.",54113,206.108.35.31,2001:504:1a::35:31,100,Accepting
"FiberConX Communications",13895,206.108.34.206,2001:504:1a::34:206,1,Accepting
"FiberConX Communications",13895,206.108.35.9,2001:504:1a::35:9,1,Accepting
"Fibernetics / 295.ca",36493,206.108.34.78,2001:504:1a::34:78,20,Accepting
"Fibrenoire Internet",22652,206.108.34.141,2001:504:1a::34:141,100,Accepting
"FibreStream Inc.",395570,206.108.35.49,2001:504:1a::35:49,30,Accepting
"Fidalia Networks Inc",32678,206.108.34.111,2001:504:1a::34:111,10,Accepting
"Flowfinity Wireless Inc.",30539,206.108.34.182,2001:504:1a::34:182,10,Conditional
"Fonthill Media Network",25948,206.108.34.193,2001:504:1a::34:193,10,Accepting
"Forcepoint",44444,206.108.35.38,2001:504:1a::35:38,10,Accepting
"Freedom Mobile, Inc. (I.T.)",36273,206.108.34.158,2001:504:1a::34:158,1,Accepting
"Frontier Networks",7311,206.108.34.167,2001:504:1a::34:167,10,Accepting
"Frontline Broadband Inc.",53338,206.108.35.42,2001:504:1a::35:42,10,Accepting
"Frontline Broadband Inc.",53338,206.108.35.116,2001:504:1a::35:116,10,Accepting
"Galaxybroadband Communications, Inc",14500,206.108.34.156,2001:504:1a::34:156,1,Accepting
"Gazelle Communications",62782,206.108.34.240,2001:504:1a::34:240,1,Accepting
"GlobalTeleHost Corp",62563,206.108.35.52,2001:504:1a::35:52,10,Accepting
"GoCodeIT Inc",62513,206.108.35.161,2001:504:1a::35:161,10,Accepting
"Google, Inc.",15169,206.108.34.6,2001:504:1a::34:6,100,Accepting
"Google, Inc.",15169,206.108.35.143,2001:504:1a::35:143,100,Accepting
"Gosfield North Communications",19465,206.108.35.78,2001:504:1a::35:78,10,Accepting
"The Great-West Life Assurance Company",397433,206.108.35.127,2001:504:1a::35:127,10,Conditional
"The Great-West Life Assurance Company",397433,206.108.35.128,2001:504:1a::35:128,10,Conditional
"GTAnet Networking",549,206.108.34.207,2001:504:1a::34:207,100,Accepting
"HCE Telecom Inc",393457,206.108.35.20,2001:504:1a::35:20,10,Accepting
"Heavy Computing",19117,206.108.34.93,2001:504:1a::34:93,10,Accepting
"HostCircle Inc.",396158,206.108.35.121,2001:504:1a::35:121,10,Accepting
"Hosting Logistic Inc.",46609,206.108.34.149,2001:504:1a::34:149,10,Accepting
"Hostopia.com Inc.",14116,206.108.34.28,2001:504:1a::34:28,10,Accepting
"Humber College",32156,206.108.34.238,2001:504:1a::34:238,10,Not accepting
"HuronTel",11084,206.108.35.79,2001:504:1a::35:79,10,Accepting
"Hurricane Electric",6939,206.108.34.112,2001:504:1a::34:112,200,Accepting
"Hydro One Telecom",19752,206.108.34.48,2001:504:1a::34:48,20,Conditional
"i3D.net, LLC",49544,206.108.35.160,2001:504:1a::35:160,100,Accepting
"IBM Cloud (Softlayer Canada)",36351,206.108.34.225,2001:504:1a::34:225,40,Accepting
"Imperva Inc.",19551,206.108.35.151,2001:504:1a::35:151,10,Connecting
"InfiniteIT",36225,206.108.34.194,2001:504:1a::34:194,10,Accepting
"Infra-Solutions",63003,206.108.34.243,2001:504:1a::34:243,1,Accepting
"InnSys Inc.",53732,206.108.34.185,2001:504:1a::34:185,10,Accepting
"Intact Financial Corporation",32564,206.108.35.100,2001:504:1a::35:100,10,Conditional
"Intact Financial Corporation",32564,206.108.35.101,2001:504:1a::35:101,10,Conditional
"Internap Corporation",29791,206.108.35.123,2001:504:1a::35:123,10,Accepting
"Internet Access Solutions Ltd.",33130,206.108.34.127,2001:504:1a::34:127,10,Accepting
"Internet Light and Power, Inc.",12059,206.108.34.47,2001:504:1a::34:47,10,Accepting
"Internet Systems Consortium, Inc.",30130,206.108.34.23,2001:504:1a::34:23,10,Accepting
"Internetworking Atlantic",11468,206.108.34.237,2001:504:1a::34:237,10,Accepting
"Invesco Management Group, Inc.",14630,206.108.35.91,2001:504:1a::35:91,10,Conditional
"IPTP Networks",41095,206.108.34.224,2001:504:1a::34:224,10,Accepting
"IrisTel",33164,206.108.34.169,2001:504:1a::34:169,10,Accepting
"ISP Telecom Inc.",22964,206.108.34.107,2001:504:1a::34:107,1,Accepting
